#Duplication rate	Coverage
1.0	1.2008238E7
2.0	1674025.0
3.0	465470.0
4.0	191898.0
5.0	99893.0
6.0	60613.0
7.0	39758.0
8.0	28750.0
9.0	21402.0
10.0	16625.0
11.0	13503.0
12.0	11316.0
13.0	9648.0
14.0	8046.0
15.0	6936.0
16.0	6189.0
17.0	5521.0
18.0	4985.0
19.0	4409.0
20.0	4167.0
21.0	3794.0
22.0	3561.0
23.0	3279.0
24.0	3046.0
25.0	2808.0
26.0	2600.0
27.0	2487.0
28.0	2390.0
29.0	2196.0
30.0	2193.0
31.0	2025.0
32.0	1912.0
33.0	1834.0
34.0	1737.0
35.0	1673.0
36.0	1581.0
37.0	1523.0
38.0	1463.0
39.0	1461.0
40.0	1477.0
41.0	1355.0
42.0	1272.0
43.0	1186.0
44.0	1205.0
45.0	1185.0
46.0	1153.0
47.0	1139.0
48.0	1080.0
49.0	1057.0
50.0	68878.0
