#Read position (bp)	Clipping profile
0.0	5.595142119487267
1.0	5.593553966559827
2.0	5.374099264278108
3.0	5.0949295996850825
4.0	4.7925992856836475
5.0	4.470226914589466
6.0	4.17621353382907
7.0	3.8770296383139904
8.0	3.5690413362712543
9.0	3.2528803848355285
10.0	2.9134990092543456
11.0	2.59957239626553
12.0	2.2820592990538136
13.0	1.9602022274169444
14.0	1.6351874007056595
15.0	1.3130407307737804
16.0	1.0228426271953328
17.0	0.7424857126526567
18.0	0.47596974153341864
19.0	0.22698322735306806
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.14976972607031253
31.0	0.30957542437126095
32.0	0.48224608892349596
33.0	0.6701428218404274
34.0	0.8625783123773755
35.0	1.0727287676578439
36.0	1.2813663037316398
37.0	1.485817547014222
38.0	1.685939244256457
39.0	1.8822673068939502
40.0	2.0840884617464046
41.0	2.280388698213203
42.0	2.4742732108241166
43.0	2.6636766793542326
44.0	2.844586982228909
45.0	3.0466791845959103
46.0	3.234532632358427
47.0	3.4134033799810575
48.0	3.5541904059114824
49.0	3.5541904059114824
