#GC Content (%)	Sample
1.0	6.383494036752655E-5
2.0	2.9414139188958306E-5
3.0	8.699075206947243E-5
4.0	8.824241756687493E-5
5.0	5.194411814220297E-5
6.0	5.507328188570918E-5
7.0	3.1917470183763275E-5
8.0	1.1890822225323571E-5
9.0	1.6271651466232255E-5
10.0	5.006661989609925E-6
11.0	6.884160235713646E-6
12.0	5.006661989609925E-6
13.0	1.3142487722726052E-5
14.0	1.6897484214933494E-5
15.0	2.62849754454521E-5
16.0	3.379496842986699E-5
17.0	4.568579065519057E-5
18.0	6.696410411103275E-5
19.0	9.825574154609478E-5
20.0	1.1765655675583322E-4
21.0	1.677231766519325E-4
22.0	2.4344893924478257E-4
23.0	3.4608551003178606E-4
24.0	5.206928469194322E-4
25.0	7.979367545940816E-4
26.0	9.450074505388734E-4
27.0	0.0013061129465394893
28.0	0.0018374449501868423
29.0	0.0024031977550127643
30.0	0.0033237977283522885
31.0	0.004121108650197669
32.0	0.005672548034228045
33.0	0.007247143229960366
34.0	0.010847559033238603
35.0	0.012919065431439709
36.0	0.018167298862048313
37.0	0.020017886299957884
38.0	0.026820062445591666
39.0	0.02798411135817597
40.0	0.033736765984237777
41.0	0.03261840286230866
42.0	0.03845867407318865
43.0	0.036086142122862236
44.0	0.04653191653143464
45.0	0.03842425327201007
46.0	0.04498736130763998
47.0	0.03705993787984137
48.0	0.04622400681907362
49.0	0.036285156936949226
50.0	0.043123631382007685
51.0	0.03616374538370118
52.0	0.035792000730972655
53.0	0.027659929994348728
54.0	0.03324360977826119
55.0	0.02396563927876531
56.0	0.027449024358036412
57.0	0.022335344968398577
58.0	0.023269713262209526
59.0	0.017023902430171146
60.0	0.017704808460758097
61.0	0.013330237547336424
62.0	0.019218072047117698
63.0	0.01150718675036971
64.0	0.012128638669830043
65.0	0.009503270289028339
66.0	0.00967474846217248
67.0	0.007904893448845369
68.0	0.009170327266719278
69.0	0.006804679476628589
70.0	0.007021217607679218
71.0	0.006615677986520814
72.0	0.006155690916225403
73.0	0.004542919922822306
74.0	0.0065036539245032915
75.0	0.004599244870205417
76.0	0.004325130126274273
77.0	0.002752412428788056
78.0	0.0024182177409815936
79.0	0.0018011466507621703
80.0	0.0014575644717251892
81.0	0.001423143670546621
82.0	0.0015070052588725873
83.0	0.0010751806622687312
84.0	0.0010945814774784698
85.0	7.735292773947334E-4
86.0	0.0010107198891525036
87.0	5.113053556889136E-4
88.0	3.1980053458633393E-4
89.0	1.1264989476622331E-4
90.0	8.761658481817368E-6
91.0	2.5033309948049623E-6
92.0	1.2516654974024812E-6
93.0	2.5033309948049623E-6
94.0	0.0
95.0	0.0
96.0	1.2516654974024812E-6
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.7523316963634736E-5
