#Mapping quality	mapping quality
0.0	7.7350683E7
1.0	907226.0
2.0	836876.0
3.0	878636.0
4.0	921363.0
5.0	909465.0
6.0	965496.0
7.0	1004320.0
8.0	1003024.0
9.0	879543.0
10.0	1022582.0
11.0	1126414.0
12.0	1085741.0
13.0	1478922.0
14.0	767092.0
15.0	2141123.0
16.0	608737.0
17.0	637524.0
18.0	743851.0
19.0	572398.0
20.0	606697.0
21.0	611680.0
22.0	762516.0
23.0	504356.0
24.0	571607.0
25.0	670444.0
26.0	451470.0
27.0	908627.0
28.0	896629.0
29.0	423255.0
30.0	631159.0
31.0	492046.0
32.0	773818.0
33.0	706070.0
34.0	497839.0
35.0	2156634.0
36.0	499628.0
37.0	562831.0
38.0	420297.0
39.0	944231.0
40.0	499674.0
41.0	485737.0
42.0	944463.0
43.0	519243.0
44.0	687248.0
45.0	520446.0
46.0	1007039.0
47.0	748121.0
48.0	815165.0
49.0	805242.0
50.0	947482.0
51.0	862700.0
52.0	722260.0
53.0	1665679.0
54.0	1190736.0
55.0	1118751.0
56.0	1401401.0
57.0	1803477.0
58.0	1946393.0
59.0	3614587.0
60.0	8.8799431E7
